VV_intensity,VH_intensity,Depol_ratio,Alpha,Anisotropy,Entropy,GLCM_mean,GLCM_variance,GLCM_correlation,IceStage,number,date
-18.169637414015433,-22.475328328708972,-4.3056909146935425,20.21638107,0.5807656,0.74058229,1.15076387,3.99490452,0.33357942,sheetice,n101,03-24-2019
-17.477379143343516,-26.346355819785213,-8.868976676441697,18.99331284,0.60733795,0.71447563,1.14091265,3.17927933,0.29768279,sheetice,n101,03-24-2019
-17.09760093827808,-23.813265510837095,-6.715664572559012,16.9284687,0.64376956,0.67586136,0.79595071,1.88119566,0.32186097,sheetice,n101,03-24-2019
-17.270825838193836,-24.686705570728037,-7.415879732534202,22.89060783,0.56277442,0.75760484,1.35107255,5.78171349,0.49051484,sheetice,n101,03-24-2019
-18.083288199534895,-24.343245171300246,-6.259956971765352,20.34797859,0.60034406,0.72150439,1.88981283,8.06196404,0.36226243,sheetice,n101,03-24-2019
-18.755036003620155,-26.420594386360627,-7.6655583827404765,14.17141628,0.70188451,0.6074118,1.1942538,2.75547886,0.35346952,sheetice,n101,03-24-2019
-17.789179353292162,-23.3710434889653,-5.581864135673138,19.03156471,0.63610888,0.68379951,1.76580775,9.21811867,0.53664404,sheetice,n101,03-24-2019
-17.515938817555792,-23.263147894716788,-5.747209077160994,17.18612862,0.62971282,0.69113213,1.04068422,2.70702982,0.37297589,sheetice,n101,03-24-2019
-18.609913183228826,-24.357163305257693,-5.747250122028868,20.74151039,0.59426028,0.72736502,1.40500534,3.92283654,0.37579161,sheetice,n101,03-24-2019
-16.97085352844837,-24.303592744066066,-7.332739215617695,19.41553688,0.60012776,0.7216475,1.64223814,8.17088509,0.55881327,sheetice,n101,03-24-2019
-19.797788082029694,-23.64371512479898,-3.845927042769282,24.9041729,0.52240556,0.79298425,1.00333202,2.25589442,0.33338633,sheetice,n101,03-24-2019
-17.59442515176021,-24.1758434208555,-6.581418269095291,20.87744904,0.58767235,0.73385304,2.05486202,7.11964083,0.42986265,sheetice,n101,03-24-2019
-17.4189669613014,-24.018466338961645,-6.599499377660245,19.71856117,0.65317893,0.66537678,1.15316832,2.77027822,0.34106195,sheetice,n101,03-24-2019
-18.49109762805565,-23.39621242381096,-4.905114795755315,21.05634689,0.58931839,0.7322681,1.22583771,3.21004128,0.39780259,sheetice,n101,03-24-2019
-20.72306859504497,-23.018211317734835,-2.2951427226898655,22.95721817,0.55624259,0.76345366,1.0689038,2.80444908,0.40080026,sheetice,n101,03-24-2019
-18.924457848696086,-24.22332449867165,-5.298866649975565,19.09894562,0.62677097,0.69370687,0.72737724,1.96428609,0.25728288,sheetice,n101,03-24-2019
-18.202787751280468,-23.206384337608917,-5.0035965863284515,20.52206421,0.59546757,0.72628886,1.73369992,6.14363194,0.40471581,sheetice,n101,03-24-2019
-18.59703813606029,-25.13454763541795,-6.5375094993576575,19.59730721,0.62111789,0.70012623,0.70330662,1.54118145,0.28581199,sheetice,n101,03-24-2019
-18.02857335027437,-23.562680829909063,-5.534107479634686,23.7020359,0.56501979,0.75554681,1.10664999,3.11311007,0.31975767,sheetice,n101,03-24-2019
-17.386514706074607,-23.925149525256806,-6.538634819182204,20.47211075,0.60080391,0.72100765,1.24572778,3.705827,0.37470248,sheetice,n101,03-24-2019
-17.90513403186528,-23.88296867510568,-5.977834643240396,18.48360825,0.63882458,0.68126106,0.89908439,2.18182039,0.31170523,sheetice,n101,03-24-2019
-18.810739169123856,-23.315283512310533,-4.504544343186676,24.3966217,0.52704465,0.78909779,0.82776648,1.92788839,0.30861884,sheetice,n101,03-24-2019
-19.167317904421907,-23.37665339478483,-4.209335490362923,21.50220871,0.57794935,0.74334306,1.57892156,4.95949793,0.42886916,sheetice,n101,03-24-2019
-17.160080687844673,-24.167592727162166,-7.007512039317493,19.34978867,0.60220402,0.71962899,1.17751181,3.93446851,0.31373516,sheetice,n101,03-24-2019
-18.653292507936783,-24.71030622225626,-6.057013714319476,22.36852837,0.56315929,0.75725812,1.2819916,3.4040482,0.3719914,sheetice,n101,03-24-2019
-16.47003894025786,-23.763496894282007,-7.293457954024141,18.68330956,0.6301114,0.69068009,1.78900766,5.13533258,0.40788859,sheetice,n101,03-24-2019
-17.68221110403402,-25.280881016861297,-7.598669912827276,19.15162086,0.60844129,0.713323,1.36836576,4.55505323,0.47051141,sheetice,n101,03-24-2019
-18.653292507936783,-24.71030622225626,-6.057013714319476,22.36852837,0.56315929,0.75725812,1.2819916,3.4040482,0.3719914,sheetice,n101,03-24-2019
-19.98099781886906,-23.835486434291987,-3.8544886154229268,25.42024231,0.52211463,0.79325694,0.92289662,1.88629913,0.3119117,sheetice,n101,03-24-2019
-18.191850786536506,-23.21366916811717,-5.021818381580664,24.7784729,0.51043916,0.80283403,0.86123049,2.13753486,0.31293157,sheetice,n101,03-24-2019
-17.68221110403402,-25.280881016861297,-7.598669912827276,19.15162086,0.60844129,0.713323,1.36836576,4.55505323,0.47051141,sheetice,n101,03-24-2019
-17.384069549731997,-24.802782967317594,-7.4187134175855975,20.6758728,0.57944101,0.74186754,1.17532051,2.83096075,0.35080642,sheetice,n101,03-24-2019
-19.398440439062675,-22.463679229795957,-3.0652387907332828,25.31198311,0.54876578,0.77028364,1.16521168,3.23661828,0.34084597,sheetice,n101,03-24-2019
-17.387623567154773,-24.797706989103858,-7.410083421949086,15.97109795,0.65744001,0.66043335,0.98284227,2.22810149,0.29870406,sheetice,n101,03-24-2019
-15.94958589824261,-23.77130366154448,-7.821717763301867,17.28563118,0.65018243,0.66868418,1.8252424,9.45489597,0.53439766,sheetice,n101,03-24-2019
-16.658545867239326,-25.48390080432508,-8.825354937085757,19.11416817,0.63733792,0.68273705,0.83465528,1.73162758,0.29304996,sheetice,n101,03-24-2019
-15.821108208626587,-24.1223068408711,-8.301198632244514,17.95398521,0.62428588,0.6967079,1.19077098,2.87124801,0.32284424,sheetice,n101,03-24-2019
-16.710842821629065,-25.060431106435004,-8.349588284805938,20.328619,0.60914117,0.71225917,1.55875099,4.73188162,0.35903668,sheetice,n101,03-24-2019
-19.38752275686212,-23.971611488947335,-4.584088732085216,17.67448235,0.62180626,0.69905418,1.16799247,3.78750849,0.31716675,sheetice,n101,03-24-2019
-18.112958893971772,-24.25840200127457,-6.145443107302796,21.82954979,0.58498901,0.73644388,1.4270637,4.2319932,0.3565211,sheetice,n101,03-24-2019
-18.59703813606029,-25.13454763541795,-6.5375094993576575,19.59730721,0.62111789,0.70012623,0.70330662,1.54118145,0.28581199,sheetice,n101,03-24-2019
-17.515750079498147,-23.587887270922444,-6.072137191424295,17.35816193,0.66279548,0.65417689,1.74160051,9.14281082,0.53658468,sheetice,n101,03-24-2019
